Title,Authors and Journal,Year,Cited by,Paper URL
Testing the factor structure underlying behavior using joint cognitive models: Impulsivity in delay discounting and Cambridge gambling tasks.,"PD Kvam, RJ Romeu, BM Turner, J Vassileva, JR Busemeyer",2021.0,27.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:4OULZ7Gr8RgC
"A model of dynamic, within-trial conflict resolution for decision making.","ER Weichart, BM Turner, PB Sederberg",2020.0,22.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:a0OBvERweLwC
The importance of standards for sharing of computational models and data,"RA Poldrack, F Feingold, MJ Frank, P Gleeson, G de Hollander, QJ Huys, ...",2019.0,20.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:u_35RYKgDlwC
"Gaussian process linking functions for mind, brain, and behavior","G Bahg, DG Evans, M Galdo, BM Turner",2020.0,19.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:KxtntwgDAa4C
Variational Bayesian methods for cognitive science.,"M Galdo, G Bahg, BM Turner",2020.0,18.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:pyW8ca7W8N0C
What’s in a response time?: On the importance of response time measures in constraining models of context effects.,"MF Molloy, M Galdo, G Bahg, Q Liu, BM Turner",2019.0,18.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:rO6llkc54NcC
Anxiety modulates preference for immediate rewards among trait-impulsive individuals: A hierarchical Bayesian analysis,"N Haines, TP Beauchaine, M Galdo, AH Rogers, H Hahn, MA Pitt, ...",2020.0,17.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:xtRiw3GOFMkC
Predicting task and subject differences with functional connectivity and blood-oxygen-level-dependent variability,"G Gaut, B Turner, ZL Lu, X Li, WA Cunningham, M Steyvers",2019.0,17.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:O3NaXMp0MMsC
Reconciling similarity across models of continuous selections.,"PD Kvam, BM Turner",2021.0,16.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:D03iK_w7-QYC
"As within, so without, as above, so below: Common mechanisms can support between-and within-trial category learning dynamics.","ER Weichart, M Galdo, VM Sloutsky, BM Turner",2022.0,13.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:Tiz5es2fbqcC
"Low-cost, high-resolution stemflow sensing","B Turner, DJ Hill, DE Carlyle-Moses, M Rahman",2019.0,12.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:uWQEDVKXjbEC
Hierarchies improve individual assessment of temporal discounting behavior.,"MF Molloy, RJ Romeu, PD Kvam, PR Finn, J Busemeyer, BM Turner",2020.0,11.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:abG-DnoFyZgC
Hierarchical Bayesian analyses for modeling BOLD time series data,"MF Molloy, G Bahg, X Li, M Steyvers, ZL Lu, BM Turner",2018.0,11.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:RGFaLdJalmkC
Equal evidence perceptual tasks suggest a key role for interactive competition in decision-making.,"RP Kirkpatrick, BM Turner, PB Sederberg",2021.0,10.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:yD5IFk8b50cC
Individual differences in the neural dynamics of response inhibition,"MF Molloy, G Bahg, ZL Lu, BM Turner",2019.0,9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:cFHS6HbyZ2cC
Outlook on deep neural networks in computational cognitive neuroscience.,"BM Turner, S Miletić, BU Forstmann",2018.0,9.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:r0BpntZqJG4C
The quest for simplicity in human learning: Identifying the constraints on attention,"M Galdo, ER Weichart, VM Sloutsky, BM Turner",2022.0,8.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:B3FOqHPlNUQC
A regularization method for linking brain and behavior.,"I Kang, W Yi, BM Turner",2022.0,8.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:OU6Ihb5iCvQC
"Cognitive inertia: How loops among attention, representation, and decision making distort reality","BM Turner, PD Kvam, L Unger, V Sloutsky, R Ralston, NJ Blanco",2021.0,7.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:XiSMed-E-HIC
Cracking “open” technology in ecohydrology,"B Turner, DJ Hill, K Caton",2020.0,6.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:SP6oXDckpogC
Score-based tests for detecting heterogeneity in linear mixed models,"T Wang, EC Merkle, JA Anguera, BM Turner",2021.0,5.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:pqnbT2bcN3wC
Real-time adaptive design optimization within functional MRI experiments,"G Bahg, PB Sederberg, JI Myung, X Li, MA Pitt, ZL Lu, BM Turner",2020.0,5.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:NhqRSupF_l8C
The quest for simplicity in human learning,"B Galdo, E Weichart, V Sloutsky, B Turner",2021.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:p2g8aNsByqUC
Constraining functional coactivation with a cluster-based structural connectivity network,"I Kang, M Galdo, BM Turner",2022.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:08ZZubdj9fEC
Extensions of multivariate dynamical systems to simultaneously explain neural and behavioral data,"Q Liu, AA Petrov, ZL Lu, BM Turner",2020.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:EUQCXRtRnyEC
Frontoparietal dynamics and value accumulation in intertemporal choice,"Q Liu, W Yi, CA Rodriguez, SM McClure, BM Turner",2020.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:P5F9QuxV20EC
A Tutorial on Joint Modeling,"BM Turner, BU Forstmann, M Steyvers, BM Turner, BU Forstmann, ...",2019.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:70eg2SAEIzsC
Distributed Neural Systems Support Flexible Attention Updating during Category Learning,"ER Weichart, DG Evans, M Galdo, G Bahg, BM Turner",2022.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:sSrBHYA8nusC
INFERR-Iron infusion in haemodialysis study: INtravenous iron polymaltose for First Nations Australian patients with high FERRitin levels on haemodialysis—a protocol for a …,"SW Majoni, J Nelson, D Germaine, L Hoppo, S Long, S Divakaran, ...",2021.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:K3LRdlH-MEoC
Quantifying mechanisms of cognition with an experiment and modeling ecosystem,"ER Weichart, KP Darby, AW Fenton, BG Jacques, RP Kirkpatrick, ...",2021.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:dshw04ExmUIC
Adverse effects of information personalization on human learning,"G Bahg, V Sloutsky, BM Turner",2022.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:VOx2b1Wkg3QC
Fixation-gated Encoding Accounts for Attention Biases During Recognition and Categorization,"ER Weichart, N King, L Unger, V Sloutsky, BM Turner",2022.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:geHnlv5EZngC
Distributed neural systems enable flexible attention updating during category learning,"ER Weichart, D Evans, M Galdo, G Bahg, BM Turner",2021.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:l7t_Zn2s7bgC
INFERR-Iron Infusion in Haemodialysis Study: INtravenous Iron Polymaltose for First Nations Patients With High FERRitin Levels On Haemodialysis A Protocol for a Prospective …,"MS William, J Nelson, D Germaine, L Hoppo, S Long, S Divakaran, ...",2021.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:738O_yMBCRsC
SUPPLEMENTARY MATERIALS: The Quest for Simplicity in Human Learning,"M Galdo, VM Sloutsky, BM Turner",2021.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:4fKUyHm3Qg0C
"Gaussian Process Linking Functions for Mind, Brain and Behavior","G Bahg, DG Evans, M Galdo, BM Turner",2019.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:bFI3QPDXJZMC
Assessing Model Performance with Generalization Tests,"BM Turner, BU Forstmann, M Steyvers, BM Turner, BU Forstmann, ...",2019.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:2P1L_qKh6hAC
Other Approaches,"BM Turner, BU Forstmann, M Steyvers, BM Turner, BU Forstmann, ...",2019.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:35N4QoGY0k4C
Recommended articles,"BM Turner, BU Forstmann, B Tripp",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:1qzjygNMrQYC
Ensuring data integrity and user retention within BANDIT,B Turner,2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:LPZeul_q3PIC
Bayesian statistics to test Bayes optimality,"BM Turner, JL McClelland, J Busemeyer",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:g5m5HwL7SMYC
A Tutorial,"JJ Palestro, PB Sederberg, AF Osth, T Van Zandt, BM Turner, JJ Palestro, ...",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=20&pagesize=80&citation_for_view=zcFoJ48AAAAJ:blknAaTinKkC
Likelihood-Free Algorithms,"JJ Palestro, PB Sederberg, AF Osth, T Van Zandt, BM Turner, JJ Palestro, ...",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=100&pagesize=100&citation_for_view=zcFoJ48AAAAJ:JV2RwH3_ST0C
Distributions,"JJ Palestro, PB Sederberg, AF Osth, T Van Zandt, BM Turner, JJ Palestro, ...",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=100&pagesize=100&citation_for_view=zcFoJ48AAAAJ:M3NEmzRMIkIC
Validations,"JJ Palestro, PB Sederberg, AF Osth, T Van Zandt, BM Turner, JJ Palestro, ...",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=100&pagesize=100&citation_for_view=zcFoJ48AAAAJ:maZDTaKrznsC
""" When the brain takes a break: A model-based analysis of mind wandering"": Correction.","M Mittner, W Boekel, AM Tucker, BM Turner, A Heathcote, BU Forstmann",2017.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=100&pagesize=100&citation_for_view=zcFoJ48AAAAJ:TQgYirikUcIC
Conducting hydrologic research with hobbyist electronics: Gaining new insights into stemflow processes with low-cost custom sensor platforms,"B Turner, DJ Hill, DE Carlyle-Moses",2017.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=100&pagesize=100&citation_for_view=zcFoJ48AAAAJ:D_sINldO8mEC
Applications of Hobbyist Electronics in Monitoring Stemflow Processes: Preliminary Insights and Results,"DE Carlyle-Moses, B Turner, DJ Hill",2016.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zcFoJ48AAAAJ&cstart=100&pagesize=100&citation_for_view=zcFoJ48AAAAJ:UxriW0iASnsC
Anatomical basis and physiological role of cerebrospinal fluid transport through the murine cribriform plate,"JN Norwood, Q Zhang, D Card, A Craine, TM Ryan, PJ Drew",2019.0,94.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&citation_for_view=LpnMMsIAAAAJ:X1y8G5kAG8gC
"A 3.8-million-year-old hominin cranium from Woranso-Mille, Ethiopia","Y Haile-Selassie, SM Melillo, A Vazzana, S Benazzi, TM Ryan",2019.0,83.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:dw5aoL0HVgwC
Trabecular bone structural variation throughout the human lower limb,"JPP Saers, Y Cazorla-Bak, CN Shaw, JT Stock, TM Ryan",2016.0,74.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:xXdmTUQ9lisC
Phosphotungstic acid‐enhanced microCT: Optimized protocols for embryonic and early postnatal mice,"KM Lesciotto, SM Motch Perrine, M Kawasaki, T Stecko, TM Ryan, ...",2020.0,53.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:lDOOmgye57wC
Human-like hip joint loading in Australopithecus africanus and Paranthropus robustus,"TM Ryan, KJ Carlson, AD Gordon, N Jablonski, CN Shaw, JT Stock",2018.0,41.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:BFeJNCPbDVwC
Complex variation of trabecular bone structure in the proximal humerus and femur of five modern human populations,"LJ Doershuk, JPP Saers, CN Shaw, T Jashashvili, KJ Carlson, JT Stock, ...",2019.0,33.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:D90uR9ClOh8C
Exploring sexual dimorphism of the modern human talus through geometric morphometric methods,"R Sorrentino, MG Belcastro, C Figus, NB Stephens, K Turley, ...",2020.0,32.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:9PmR9Y676FQC
Integration of brain and skull in prenatal mouse models of Apert and Crouzon syndromes,"SM Motch Perrine, T Stecko, T Neuberger, EW Jabs, TM Ryan, ...",2017.0,32.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:BMiRioqqltAC
Trabecular bone functional adaptation and sexual dimorphism in the human foot,"JPP Saers, TM Ryan, JT Stock",2019.0,31.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:R1TrASrH5esC
Baby steps towards linking calcaneal trabecular bone ontogeny and the development of bipedal human gait,"JPP Saers, TM Ryan, JT Stock",2020.0,30.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:Y1W0x10ZrwMC
Morphometric analysis of the hominin talus: Evolutionary and functional implications,"R Sorrentino, KJ Carlson, E Bortolini, C Minghetti, F Feletti, L Fiorenza, ...",2020.0,26.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:GWiaReNCd0YC
The influence of mobility strategy on the modern human talus,"R Sorrentino, NB Stephens, KJ Carlson, C Figus, L Fiorenza, S Frost, ...",2020.0,26.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:ult01sCh7k0C
Structural and mechanical changes in trabecular bone during early development in the human femur and humerus,"TM Ryan, DA Raichlen, JH Gosman",2017.0,26.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:n2kG1_zAmykC
South-to-north migration preceded the advent of intensive farming in the Maya region,"DJ Kennett, M Lipson, KM Prufer, D Mora-Marín, RJ George, N Rohland, ...",2022.0,25.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:hKmHnHMtuq0C
Asymmetry in the cortical and trabecular bone of the human humerus during development,"B Perchalski, A Placke, SM Sukhdeo, CN Shaw, JH Gosman, ...",2018.0,21.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:_cFkbNEifk0C
Trabecular bone structure scales allometrically in the foot of four human groups,"JPP Saers, TM Ryan, JT Stock",2019.0,20.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:D4n_APcuzvwC
KSD-VP-1/1: Analysis of the postcranial skeleton using high-resolution computed tomography,"TM Ryan, S Sukhdeo",2016.0,20.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:rsrKZ8bNWIsC
Using point clouds to investigate the relationship between trabecular bone phenotype and behavior: An example utilizing the human calcaneus,"LJD DeMars, NB Stephens, JPP Saers, A Gordon, JT Stock, TM Ryan",2021.0,18.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:YnriW4MgZhwC
Evolution of the hominin knee and ankle,"MA Frelat, CN Shaw, S Sukhdeo, JJ Hublin, S Benazzi, TM Ryan",2017.0,18.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:LZ55yeyZZb4C
"Trabecular bone structure in the distal femur of humans, apes, and baboons","S Sukhdeo, J Parsons, XM Niu, TM Ryan",2020.0,17.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:fXCg-C-QWH4C
"Dentognathic remains of Australopithecus afarensis from Nefuraytu (Woranso-Mille, Ethiopia): Comparative description, geology, and paleoecological context","Y Haile-Selassie, SM Melillo, TM Ryan, NE Levin, BZ Saylor, A Deino, ...",2016.0,17.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:W91e3rS6dHEC
Unique foot posture in Neanderthals reflects their body mass and high mechanical stress,"R Sorrentino, NB Stephens, D Marchi, LJD DeMars, C Figus, E Bortolini, ...",2021.0,14.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:JVJ6OkSwpHsC
Combinations of trabecular and cortical bone properties distinguish various loading modalities between athletes and controls,"JPP Saers, LJ DeMars, NB Stephens, T Jashashvili, KJ Carlson, ...",2021.0,13.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:tsQ8sfJ2mf4C
"New Pliocene hominin remains from the Leado Dido’a area of Woranso-Mille, Ethiopia","SM Melillo, L Gibert, BZ Saylor, A Deino, M Alene, TM Ryan, ...",2021.0,8.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:kFM4V80Y5EsC
"Growth and development of trabecular structure in the calcaneus of Japanese macaques (Macaca fuscata) reflects locomotor behavior, life history, and …","JPP Saers, AD Gordon, TM Ryan, JT Stock",2022.0,7.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:P--cqP0FnSgC
"Juvenile Pleistocene tapir skull from Russells Reserve Cave, Bath County, Virginia: Implications for cold climate adaptations","RW Graham, F Grady, TM Ryan",2019.0,7.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:R8TPKZP7usQC
"Comparative description and taxonomy of new hominin juvenile mandibles from the Pliocene of Woranso-Mille (Central Afar, Ethiopia)","Y Haile-Selassie, TM Ryan",2019.0,7.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:N7YTE_TVRugC
Domain-enriched deep network for micro-CT image segmentation,"A Yazdani, NB Stephens, V Cherukuri, T Ryan, V Monga",2019.0,6.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:hzvVvKpMvx4C
Ontogenetic patterning of human subchondral bone microarchitecture in the proximal tibia,"JR Goliath, JH Gosman, SD Stout, TM Ryan",2022.0,5.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:WMj-6b1RDO4C
Human talar ontogeny: Insights from morphological and trabecular changes during postnatal growth,"C Figus, NB Stephens, R Sorrentino, E Bortolini, S Arrighi, F Lugli, ...",2022.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:kyHTWmgVackC
Automated resolution independent method for comparing in vivo and dry trabecular bone,"JPP Saers, LJ DeMars, NB Stephens, T Jashashvili, KJ Carlson, ...",2021.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:_WP0DvM6eX8C
The talar morphology of a hypochondroplasic dwarf: A case study from the Italian Late Antique period,"R Sorrentino, KJ Carlson, C Figus, A Pietrobelli, NB Stephens, ...",2022.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:EGhj4itiAA0C
Multi-class micro-CT image segmentation using sparse regularized deep networks,"A Yazdani, YC Sun, NB Stephens, T Ryan, V Monga",2020.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:mRAYM1lGiDwC
"Talar trabecular structure strongly correlates with locomotor mode and terrestrial mobility level in modern humans, nonhuman apes, and a Neandertal","J Saers, C Shaw, E Pomeroy, T Ryan, J Stock",2017.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:lu5AzqVF4qYC
"Redescription of Pseudotropheus livingstonii and Pseudotropheus elegans from Lake Malaŵi, Africa","JR Stauffer Jr, AF Konings, TM Ryan",2016.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:4p3FJGzxjgAC
Epiphyseal versus Metaphyseal Trabecular Microarchitecture: Regional Ontogenetic Patterns in the Human Proximal Tibia,"JR Goliath, JH Gosman, ZR Hubbell, TM Ryan",2016.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:tvutLEwYQz8C
Potential evolutionary body size reduction in a Malagasy primate (Propithecus verreauxi) in response to human size‐selective hunting pressure,"AP Sullivan, LR Godfrey, RR Lawler, H Randrianatoandro, L Eccles, ...",2022.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=LpnMMsIAAAAJ&cstart=20&pagesize=80&citation_for_view=LpnMMsIAAAAJ:_IwLajd9sWMC
