Title,Authors and Journal,Year,Cited by,Paper URL
"Mitochondrial genetic variation in human bioenergetics, adaptation, and adult disease","VK Friedrich, MA Rubel, TG Schurr",2022.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:gKiMpY-AVTkC
Matrilineal diversity and population history of Norwegians,"D Kristjansson, J Bohlin, A Jugessur, TG Schurr",2021.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:5icHVeHT4IsC
Y chromosome diversity in Aztlan descendants and its implications for the history of Central Mexico,"R Gómez, MG Vilar, MA Meraz-Ríos, D Véliz, G Zúñiga, ...",2021.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:lvd772isFD0C
Identification and evolutionary analysis of papillomavirus sequences in New World monkeys (genera Sapajus and Alouatta) from Argentina,"C Sanchez-Fernandez, EM Bolatti, ACA Culasso, D Chouhy, ...",2022.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:6yz0xqPARnAC
Genetic variation in the E6 and E7 genes of human papillomavirus type 16 in northeastern Argentina,"ME Totaro, JA Gili, DJ Liotta, TG Schurr, MA Picconi, I Badano",2022.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:Ak0FvsSvgGUC
"Mitochondrial DNA diversity in the Khattak and Kheshgi of the Peshawar Valley, Pakistan","M Zubair, BE Hemphill, TG Schurr, M Tariq, M Ilyas, H Ahmad",2020.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:a3BOlSfXSfwC
Diversidad genética en ADN mitocondrial en la República Dominicana: Implicaciones para la historia y demografía de la Española,"R Paulino-Ramirez, A Mencía-Ripley, L Tapia-Barredo, ...",2019.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:F9fV5C73w3QC
Correction: Corrigendum: Geographic population structure analysis of worldwide human populations infers their biogeographical origins,"E Elhaik, T Tatarinova, D Chebotarev, IS Piras, CM Calò, A De Montis, ...",2016.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:b1wdh0AR-JQC
Kazak mitochondrial genomes provide insights into the human population history of Central Eurasia,"A Askapuli, M Vilar, H Garcia-Ortiz, M Zhabagin, Z Sabitov, A Akilzhanova, ...",2022.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:lgwcVrK6X84C
"Mitochondrial DNA haplogroup, genetic ancestry, and susceptibility to Ewing sarcoma","K Kaneva, TG Schurr, TV Tatarinova, J Buckley, D Merkurjev, P Triska, ...",2022.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:jL-93Qbq4QoC
Diversity of Mexican Paternal Lineages Reflects Evidence of Migration and 500 Years of Admixture,"R Gómez, T Schurr, M Meraz-Rios",2021.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:vDZJ-YLwNdEC
Genetic diversity of A2 and C1 haplotypes in Puerto Rico: implications for initial migration and settlement patterns of the Caribbean,"RE Fleskes, MG Vilar, C Melendez, TG Schurr",2016.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:g3aElNc5_aQC
Evolution and dispersal of mitochondrial DNA haplogroup U5 in Northern Europe: insights from an unsupervised learning approach to phylogeography,"D Kristjansson, J Bohlin, TT Nguyen, A Jugessur, TG Schurr",2022.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:NyGDZy8z5eUC
Genetic Diversity in the Dominican Republic: Implications for the Population and Demographic History of Hispaniola,"E Oakley, R Paulino-Ramirez, B Vega, MG Vilar, A Mencia-Ripley, ...",2017.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:_axFR9aDTf0C
Genetic history of the major tribes of Pakistan,"TG Schurr, M Tariq, H Ahmad",2016.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:ILKRHgRFtOwC
"The Genetic Landscape of Samegrelo, Western Georgia (Caucasus)","TG Schurr, R Shengelia, A Yardumian, I Mathieson, M Shamoon-Poor, ...",2022.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:0CzhzZyukY4C
"Contrasting maternal and paternal genetic histories among five ethnic groups from Khyber Pakhtunkhwa, Pakistan","M Tariq, H Ahmad, BE Hemphill, U Farooq, TG Schurr",2022.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:F1b5ZUV5XREC
Identification and Evolutionary Characterization of Papillomavirus Sequences in New World Monkeys (Genera Sapajus and Alouatta) from Argentina,"CS Fernandez, EM Bolatti, ACA Culasso, D Chouhy, MM Kowalewski, ...",2021.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:Bg7qf7VwUHIC
Mitochondrial haplogroup involvement in cervical precancer development,"VK Friedrich, TG Schurr",2021.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:5MTHONV0fEkC
Genetic landscape of Gullah African Americans,"KL Keene, KD Zimmerman, TG Schurr, WM Chen, U Nayak, ...",2021.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:buQ7SEKw-1sC
